关键词,博主,内容,日期,点赞数,评论数,转发数
开学 返校 复学,卡斯卡耶夫斯基,怎么说 一篇毫无政治观点的散文 一篇本意只是开学致辞的文章 一篇我觉得是个人就能有点共鸣的优秀稿子 能被有的坏种扭曲贬低至此 让人不禁再次审视微博本科率 ,2020-02-12,0,1,0
开学 返校 复学,澄泓-研究君,把疫情数据能纳入的都纳入，一天撤换省市三位主要领导，湖北以及武汉在和过去做了断，也侧面说明顶峰已经基本过去，目前进入扫尾和重建阶段。新人新气象，“应”勇救“疫”就此拉开大幕。。#湖北省继续延迟复工开学##湖北省委主要负责同志职务调整##疫情期间更不要抽烟# ,2020-02-13,26,6,1
开学 返校 复学,澄泓-研究君,说句实话，就这么难吗。。#多地明确延迟开学时间可用暑期补齐##无症状感染者有排出病毒可能性##佟年韩商言撒狗粮# ,2020-02-14,10,4,0
开学 返校 复学,澄泓-研究君,这个执行力太惊人了。。。应该是个段子吧#多地明确延迟开学时间可用暑期补齐##上海又有28名患者治愈出院##比特币# ,2020-02-14,22,8,4
开学 返校 复学,澄泓-研究君,行情就是这样，很多人天天猜顶，但指数天天新高。大的方向是震荡走高，期间的波动就要心态良好的去面对，否则天天被市场情绪绑架，好股你也拿不住，反而追涨杀跌的，把自己搞的很累。。。#科比妻子宣布曼巴基金改名##多地明确延迟开学时间可用暑期补齐##1岁重型新冠肺炎宝宝康复出院# ,2020-02-14,28,0,1
开学 返校 复学,二分糖,虽然晚开学了，但该来的果然还是躲不过的。今天写了一天了，真别说，大概是好久没拿笔了，写着写着还真的挺上头，明天搞知识点归纳，我能行 ,2020-02-15,4,0,0
开学 返校 复学,鱼里麻里,我念高一的时候，我们学校规定女生全部剪短发，长度跟男生的寸头稍微长点，不能留刘海。开学的时候不合格的班主任现场用剪刀剪，那时候你去理发店只要说XX高中理发，就能获得一个猛男发型，一种心照不宣的默契弥漫在空气中。最让我崩溃的是每天早上起床都满头爆炸，我都需要早起半个小时洗头，寝室 ...全文,2020-02-17,703,37,164
开学 返校 复学,敏从心来,看了锦衣之下脑洞大开肿么办恶搞滴洪荒猛兽再也自己控制不住自己个儿蠢蠢欲动滴要冲粗来咧[最右]好吧，恶搞嫩就爆发嫩滴洪荒之力吧，不过估计开学了这也就会成为俺滴另一个坑，俺是挖坑小能手ps 最近快递开始全面恢复运作，我想心痒难耐滴想 ...全文,2020-02-18,1,1,0
开学 返校 复学,敏从心来,学校等疫情控制住无碍再开学吧，年龄越小自律性越差，而且都是密集型的，这个绝逼不是开玩笑，有一个全校都不知会怎样？尤其年轻小的孩子们!,2020-02-21,0,0,0
开学 返校 复学,小短腿夏酱,讲真我每天内心有两个声音在呼喊一个说：啊啊啊娃会交流了真是太可爱了还会拉着我一起去玩玩具了好甜好甜终于体会到了当妈妈的快乐！另一个说：什么时候开学啊不想再带娃了我需要放假啊啊啊啊啊leave me alone plz🙏🙏🙏 ,2020-02-21,51,11,5
开学 返校 复学,小短腿夏酱,一起床，收到两个振奋人心的微信。日托说暂定3月2日开学，正在统计宝宝们入拖时间。发型师说本月24号复工可约。接下来就是不知道美甲师出村了没 ,2020-02-22,30,32,2
开学 返校 复学,老兔爷zy,#你期待开学的真实原因#就是在家呆腻了。－－一个假期成功之处，就在于它使他（她）真＂想上学了＂。因为人不能长期放单离群，特别是孩子们。 ,2020-02-23,2,0,0
开学 返校 复学,敏从心来,要是复工没啥大问题，全面复工之后，学校不久可能就要开学了。,2020-02-24,0,0,0
开学 返校 复学,老兔爷zy,#开学#这次，可能是史上最长的寒假了。特别同情那些闲不住的小学生们，不能出门，不能下楼，不能出大院，不能去公园玩，只能宅在家，他们也为战＂疫＂贡献了一份力量呀。 ,2020-02-27,2,0,0
开学 返校 复学,追星女孩的日记,#防控疫情小贴士# 即将复工和复学的朋友们一定要注意好防范，保护好自己啊#眼泪及结膜分泌物存在新冠病毒# 追星女孩的日记的微博视频 ,2020-02-28,1,0,0
开学 返校 复学,小短腿夏酱,我跟日托园长说，再不开学家长要不健康了！园长说：我已经疯了几百回。想到她有两个儿子，我闭嘴了。 ,2020-02-28,86,32,2
开学 返校 复学,阿喔牛,有序复工是没办法的办法，各地教育局也想急着复学，赶鸭子上架可不好，要慎之又慎啊！ ,2020-02-29,3,0,0
开学 返校 复学,逆光的鸢尾,再不开学我估计我要上社会新闻了！我是怎么做到在家一边工作一边当炊事员兼职姐姐的各科辅导员班主任技术管理德育主任并防止弟弟随时拆家干扰姐姐上课的？？？不！我做不到！！！#今天你被孩子逼疯了吗# ,2020-03-11,0,0,0
开学 返校 复学,meredithshen,据说今天才是封城51天。今天新增个位数了。国外疫情蔓延。潜江昨天解封了。武汉要到什么时候？有考虑让女儿回国，可是回国回不了家也没有多大意义。学生一直在社区统计居民生活物资购买，我也准备开学的工作。国内的媒体不停夸大国外的疫情和混乱，看了Sofia 的微博，也转一下她转的照片。生活还是在继 ...全文,2020-03-14,0,0,0
开学 返校 复学,霞勇同心,"《 定了 ! 又有 2 省宣布 3 月 23 日前高三开学 , 家长 : 总算不用焦急等待了 》传递价值资讯网页链接 ",2020-03-14,0,0,0
开学 返校 复学,相忘于江湖可矣,不知开学到何时？#多地明确开学时间#,2020-03-14,1,0,0
开学 返校 复学,追星女孩的日记,#大学开学要继续后延##大学开学# 疫情如果没有完全解除，大学估计不会开学叭，毕竟涉及到全国多省的人源流动，害!还是在家规划好时间，多给自己计划些事情，这样才会感觉到压力! 追星女孩的日记的微博视频 ,2020-03-14,3,0,0
开学 返校 复学,邢立达,@乐高中国 感谢送的三箱……结果一天全拼完……再不开学，已经没地方放乐高……对了，大家，是如何保存乐高的？展示架？ ,2020-03-14,2292,339,19
开学 返校 复学,阿喔牛,都在揣测祖国花朵们的开学日期，我想说的是:人大、政协会议啥时能开了，开学也就为期不远了！ ,2020-03-15,0,0,0
开学 返校 复学,相忘于江湖可矣,春风，绽放了希望。应该快#开学# 了吧？#多地明确开学时间# ,2020-03-15,0,0,0
开学 返校 复学,相忘于江湖可矣,不知开学到何时#多地明确开学时间# ,2020-03-15,0,0,0
开学 返校 复学,二三线小镇文艺青年,昨天贵州刚“清零”，今天就来了一例输入病例。我衷心希望他没有传染更多的人，也希望他能早日康复出院，毕竟我还想早日开学呀！ ,2020-03-17,2,0,0
开学 返校 复学,小短腿夏酱,#多地明确开学时间# 广东什么时候开学啊！我女儿十分想念老师和同学们啊！ ,2020-03-18,115,40,0
开学 返校 复学,孤沽,//@糖纸啵啵啵:惨还是留学生，春节放假的时候中国暴发疫情在中国打上半场，快开学了回自己上学的国家开始被外国人歧视。老老实实隔离14天正要出门然后外国爆发疫情，开始打下半场，然后开始被中国同胞们歧视。明明已经三个半月没有出门了，却两头被歧视从来不落好。,2020-03-19,30,3,11
开学 返校 复学,iBingo,#云南开学#其实还是蛮想早点开学的，在家都被嫌弃够了 ,2020-03-23,8,2,1
开学 返校 复学,相忘于江湖可矣,//@相忘于江湖可矣:稳住，我们能赢！复课一定要慎重，特别是目前海外输入压力巨大，且局面并不十分明朗，仓促开学无疑会扩大风险。至于高考和中招，都是选拔性考试，择优录取比的是相对优劣，与试题深度广度难度关系并不密切。个人浅见，不喜勿喷，谢谢！,2020-03-23,0,0,0
开学 返校 复学,逆光的鸢尾,#开学# 楼下腊梅开的时候我已经放寒假了，然后紫叶李开了，茶花开了，红梅开了，桃花开了，迎春开了，樱花开了，辛夷开了，现在紫藤都一片绚烂了，而我还在放寒假。。。 ,2020-03-23,0,0,0
开学 返校 复学,小短腿夏酱,「失学女孩重返校园的一天」今天下午想把工作室的攀爬架拿去贝思卡，所以带上夏夏一起去玩一圈，在路上她就一直说“我最喜欢幼鹅园”，到了楼下一见到她的林林老师就跑过去抱住她了，一点也没有忘记老师呢。然后一进活动室简直了，没有停下来过，全部设备都激动地反复玩，超级开心！园长老 ...全文,2020-03-24,126,56,6
开学 返校 复学,小短腿夏酱,谁不是呢//@Hunter生:回复@小短腿夏酱:我们家也很绝望，每天都盼着开学了。现在只要通知开学，我们都不考虑疫情，直接送去//@Hunter生:开学了吗？,2020-03-24,18,3,0
开学 返校 复学,小短腿夏酱,今天跟日托园长还有两个日托小朋友和他们的家长去公园小聚另外一个宝宝公公跟我昨天一样一直在问什么时候开学，听到可能要五月份仰天长啸！我说你家娃那么难带吗？他说每天都要去把家附近的工地楼盘全部巡视一遍。 ,2020-03-25,51,28,0
开学 返校 复学,SP姐姐,下大雨了。也不知道啥时候能开学。 ,2020-03-26,1,2,0
开学 返校 复学,iBingo,#开学时间#江西暂停所有出入境国际客运航班14天，其他省份学起来吧，不然开学遥遥无期了。 ,2020-03-26,17,4,1
开学 返校 复学,霞勇同心,《2万多北京师生和教职工滞留湖北，何时返京？北京市回应》目前还有很多北京的师生和教职工滞留在湖北，他们何时能够返京？其他的师生和教职员工要根据北京市发布开学的通知后，再安排返回。网页链接 ,2020-03-26,1,0,0
